ItemID;Name;ItemType;ItemTypeDisplayName;Description;ItemClass;TradingCategory;TradingFamily;TradingGroup;BindOnPickup;BindOnEquip;GearScoreOverride;MinGearScore;MaxGearScore;Tier;ItemStatsRef;GrantsHWMBump;IgnoreNameChanges;CanHavePerks;CanReplaceGem;Perk1;Perk2;Perk3;Perk4;Perk5;PerkBucket1;PerkBucket2;PerkBucket3;PerkBucket4;PerkBucket5;ForceRarity;RequiredLevel;UseTypeAffix;UseMaterialAffix;UseMagicAffix;IconCaptureGroup;UiItemClass;RDyeSlotDisabled;GDyeSlotDisabled;BDyeSlotDisabled;ADyeSlotDisabled;ArmorAppearanceM;ArmorAppearanceF;WeaponAppearanceOverride;ConfirmDestroy;ConfirmBeforeUse;ConsumeOnUse;PrefabPath;HousingTags;IconPath;MaxStackSize;DeathDropPercentage;Nonremovable;IsMissionItem;IsUniqueItem;ContainerLevel;ContainerGS;IsSalvageable;SalvageResources;IsRepairable;RepairDustModifier;RepairRecipe;CraftingRecipe;RepairGameEventID;SalvageGameEventID;SalvageAchievement;RepairTypes;IngredientCategories;IngredientBonusPrimary;IngredientBonusSecondary;IngredientGearScoreBaseBonus;IngredientGearScoreMaxBonus;ExtraBonusItemChance;Durability;DurabilityDmgOnDeath;DestroyOnBreak;Weight;AcquisitionNotificationId;AudioPickup;AudioPlace;AudioUse;AudioCreated;AudioDestroyed;MannequinTag;SoundTableID;WarboardGatherStat;WarboardDepositStat;Notes;HideInLootTicker;HideFromRewardOpenPopup
RawhideT0;@RawhideT0_MasterName;Resource;@ui_itemtypedescription_resource;@RawhideT0_Description;Resource+Rawhide;;;;false;false;0;0;0;0;;;false;false;false;;;;;;;;;;;0;0;false;true;false;;UI_Leatherworking;false;false;false;false;;;;;false;false;;;RawhideT0;10000;0;false;false;;;;false;false;false;0;;;;;;;;0;0;0;0;;0;0;false;2;0;Play_UI_Pickup_Cloth;Play_UI_Drop_Cloth;Play_UI_Use_Cloth;Play_UI_Created_Cloth;;;;;;;;false
RawhideT1;@RawhideT1_MasterName;Resource;@ui_itemtypedescription_resource;@RawhideT1_Description;Resource+Rawhide;Resources;RawResources;Rawhide;false;false;0;0;0;1;;;false;false;false;;;;;;;;;;;0;0;false;true;false;;UI_Leatherworking;false;false;false;false;;;;;false;false;;;RawhideT1;10000;0;false;false;;;;false;false;false;0;;;;;;;;0;0;0;0;;0;0;false;2;0;Play_UI_Pickup_Cloth;Play_UI_Drop_Cloth;Play_UI_Use_Cloth;Play_UI_Created_Cloth;;;;;;;;false
RawhideT4;@RawhideT4_MasterName;Resource;@ui_itemtypedescription_resource;@RawhideT4_Description;Resource+Rawhide;Resources;RawResources;Rawhide;false;false;0;0;0;4;;;false;false;false;;;;;;;;;;;0;0;false;true;false;;UI_Leatherworking;false;false;false;false;;;;;false;false;;;RawhideT4;10000;0;false;false;;;;false;false;false;0;;;;;;;;0;0;0;0;;0;0;false;2;0;Play_UI_Pickup_Cloth;Play_UI_Drop_Cloth;Play_UI_Use_Cloth;Play_UI_Created_Cloth;;;;;;;;false
RawhideT5;@RawhideT5_MasterName;Resource;@ui_itemtypedescription_resource;@RawhideT5_Description;Resource+Rawhide;Resources;RawResources;Rawhide;false;false;0;0;0;5;;;false;false;false;;;;;;;;;;;0;0;false;true;false;;UI_Leatherworking;false;false;false;false;;;;;false;false;;;RawhideT5;10000;0;false;false;;;;false;false;false;0;;;;;;;;0;0;0;0;;0;0;false;2;0;Play_UI_Pickup_Cloth;Play_UI_Drop_Cloth;Play_UI_Use_Cloth;Play_UI_Created_Cloth;;;;;;;;false
FurT3;@FurT3_MasterName;Resource;@ui_itemtypedescription_resource;@FurT3_Description;Resource+Rawhide;Resources;RawResources;Rawhide;false;false;0;0;0;3;;;false;false;false;;;;;;;;;;;0;0;false;true;false;;UI_Leatherworking;false;false;false;false;;;;;false;false;;;RawhideT1;10000;0;false;false;;;;false;false;false;0;;;;;;;FurT3,Fur;0;0;0;0;;0;0;false;2;0;Play_UI_Pickup_Cloth;Play_UI_Drop_Cloth;Play_UI_Use_Cloth;Play_UI_Created_Cloth;;;;;;;;false
FurT4;@FurT4_MasterName;Resource;@ui_itemtypedescription_resource;@FurT4_Description;Resource+Rawhide;Resources;RawResources;Rawhide;false;false;0;0;0;4;;;false;false;false;;;;;;;;;;;0;0;false;true;false;;UI_Leatherworking;false;false;false;false;;;;;false;false;;;RawhideT1;10000;0;false;false;;;;false;false;false;0;;;;;;;FurT4,Fur;0;0;0;0;;0;0;false;2;0;Play_UI_Pickup_Cloth;Play_UI_Drop_Cloth;Play_UI_Use_Cloth;Play_UI_Created_Cloth;;;;;;;;false
FurT5;@FurT5_MasterName;Resource;@ui_itemtypedescription_resource;@FurT5_Description;Resource+Rawhide;Resources;RawResources;Rawhide;false;false;0;0;0;5;;;false;false;false;;;;;;;;;;;0;0;false;true;false;;UI_Leatherworking;false;false;false;false;;;;;false;false;;;RawhideT1;10000;0;false;false;;;;false;false;false;0;;;;;;;FurT5,Fur;0;0;0;0;;0;0;false;2;0;Play_UI_Pickup_Cloth;Play_UI_Drop_Cloth;Play_UI_Use_Cloth;Play_UI_Created_Cloth;;;;Liquid;Liquid;;;false
LeatherT2;@LeatherT2_MasterName;Resource;@ui_itemtypedescription_resource;@LeatherT2_Description;Resource+Leather;Resources;RefinedResources;Leather;false;false;0;0;0;2;;;false;false;false;;;;;;;;;;;0;0;false;true;false;;UI_Leatherworking;false;false;false;false;;;;;false;false;;;LeatherT2;10000;0;false;false;;;;false;false;false;0;;;;;;;LeatherT2,Leather;0;0;0;0;;0;0;false;2;0;Play_UI_Pickup_Leather;Play_UI_Drop_Leather;Play_UI_Use_Leather;Play_UI_Created_Leather;;;;Grass;Grass;;;false
LeatherT3;@LeatherT3_MasterName;Resource;@ui_itemtypedescription_resource;@LeatherT3_Description;Resource+Leather;Resources;RefinedResources;Leather;false;false;0;0;0;3;;;false;false;false;;;;;;;;;;;0;0;false;true;false;;UI_Leatherworking;false;false;false;false;;;;;false;false;;;LeatherT3;10000;0;false;false;;;;false;false;false;0;[LTID]LeatherT2;[LTID]LeatherT2;;;;;LeatherT3,Leather;0;0;0;0;;0;0;false;2;0;Play_UI_Pickup_Leather;Play_UI_Drop_Leather;Play_UI_Use_Leather;Play_UI_Created_Leather;;;;Metal;Metal;;;false
LeatherT4;@LeatherT4_MasterName;Resource;@ui_itemtypedescription_resource;@LeatherT4_Description;Resource+Leather;Resources;RefinedResources;Leather;false;false;0;0;0;4;;;false;false;false;;;;;;;;;;;0;0;false;true;false;;UI_Leatherworking;false;false;false;false;;;;;false;false;;;LeatherT4;10000;0;false;false;;;;false;false;false;0;[LTID]LeatherT3;[LTID]LeatherT3;;;;;LeatherT4,Leather;0;0;0;0;;0;0;false;2;0;Play_UI_Pickup_Leather;Play_UI_Drop_Leather;Play_UI_Use_Leather;Play_UI_Created_Leather;;;;Stone;Stone;;;false
