TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;EnforceLocationRequirement;TerritoryID;POITag;LootTag;PauseAndClearLootOnTaskComplete;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;OverrideLocation;TP_StayComplete;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
M_task_transport_item_container;ConsecutiveTaskContainer;0;0;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;false;M_task_transport_item_container_first;M_ReturnToGiver;;;
M_task_transport_item_container_first;SimpleTaskContainer;1;1;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;1;;;;;false;M_task_give_transport_item;M_task_have_transport_item;M_task_courier_timer_Xs;;
M_task_have_transport_item;TaskHaveAndReturnItems;0;1;1;;;;0;false;;;;true;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;@objective_mission_task_transport_item;;;0;;;;;false;;;;;
M_task_give_transport_item;TaskGiveAndTakeItem;0;1;1;;;;0;false;;;;true;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;1;;;;;false;;;;;
M_task_courier_timer_Xs;TaskTimer;1;0;0;;;;0;false;;;;false;;;;;;;;;;1;;;;;;;;;;;;;;;;0;;@ui_wartime_remaining;;;1;;;;;false;;;;;
M_task_kill_X_enemies_container_location;ConsecutiveTaskContainer;0;0;0;;;;0;true;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;false;M_task_kill_X_enemies_at_mission_location;M_ReturnToGiver;;;
M_task_kill_X_enemies_container;ConsecutiveTaskContainer;0;0;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;false;M_task_kill_X_enemies;M_ReturnToGiver;;;
M_task_kill_X_enemies_container_first;SimpleTaskContainer;0;1;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;1;;;;;false;;;;;
M_task_kill_X_enemies;TaskKillContribution;0;0;1;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_kill_X_enemies;;;0;;;;;false;;;;;
M_task_acquire_X_items_container;ConsecutiveTaskContainer;0;0;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;false;M_task_have_X_items;M_ReturnToGiver;;;
M_task_acquire_X_items_container_first;SimpleTaskContainer;0;1;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;1;;;;;false;;;;;
M_task_have_X_items;TaskHaveAndReturnItems;0;1;1;;;;0;false;;;;true;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;@objective_mission_task_have_X_items;;;0;;;;;false;;;;;
M_task_craft_workorder_items_container;ConsecutiveTaskContainer;0;0;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;false;M_task_give_workorder_item;M_task_have_crafted_workorder_item;M_ReturnToGiver;;
M_task_craft_workorder_items_container_first;SimpleTaskContainer;0;0;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;1;;;;;false;;;;;
M_task_give_workorder_item;TaskGiveItem;0;1;1;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;0;;;;;false;;;;;
M_task_have_crafted_workorder_item;TaskHaveAndReturnItems;0;1;1;;;;0;false;;;;true;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;@objective_mission_task_craft_workorder_item;;;0;;;;;false;;;;;
M_task_community_goal_prototype;TaskGameEvent;0;0;10;;;;0;false;;;;false;;;;;;;;Mission_Success_Procurer;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;false;;;;;
darkness_task_major_corrupted_portal_container;SimpleTaskContainer;0;0;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;false;darkness_task_major_corrupted_portal_container_first;;;;
darkness_task_major_corrupted_portal_container_first;ConsecutiveTaskContainer;0;0;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_darkness_task_major_corrupted_portal_container_desc;;;0;;;;;false;darkness_task_complete_waves;darkness_task_kill_enemies;darkness_task_kill_enemies;darkness_task_kill_enemies;
darkness_task_complete_waves;TaskDarknessWaves;0;0;10;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_darkness_task_complete_waves_desc;;;0;;;;;false;;;;;
darkness_task_kill_enemies;TaskDarknessKill;0;0;10;;;;0;false;;;;false;;;;;;;;Corrupted;;0;;;;;;;;;;;;;;;;0;;@objective_darkness_task_kill_enemies_desc;;;0;;;;;false;;;;;
M_task_die;TaskDie;1;0;0;;;;0;false;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_task_survive;;;1;;;;;false;;;;;
M_task_acquire_X_items_POITag_container;ConsecutiveTaskContainer;0;0;0;;;;0;true;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_story_task_search_containers;;;0;;;;;false;M_task_acquire_X_items_at_mission_location;M_ReturnToGiver;;;
M_task_acquire_X_items_POITag_container_first;SimpleTaskContainer;0;1;0;;;;0;true;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_story_task_search_containers;;;0;;;;;false;;;;;
M_task_acquire_X_items_POITag_territory_container;ConsecutiveTaskContainer;0;0;0;;;;0;true;;;;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_mission_task_have_X_items_goto_territoryID_POITag;;;0;;;;;false;M_task_goto_territoryID_POITag;M_task_acquire_X_items_at_mission_location;M_ReturnToGiver;;
