TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;EnforceLocationRequirement;TerritoryID;POITag;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TargetDescriptionTaskId;OverrideLocation;TP_StayComplete;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
1102_0201_d_00_Container_abandonedduties;ConsecutiveTaskContainer;;0;;;;0;0;;0;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;1102_0201_d_01_Task;1102_0201_d_02_Task;1102_0201_d_03_Task;;
1102_0201_d_01_Task;TaskGoToPOITag;;1;1;;;0;0;;0;small_outpost;;1;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@1102_0201_d_01_Task;;;;;;;;;;;;;;
1102_0201_d_02_Task;TaskKillContribution;;1;1;;;0;0;1;0;small_outpost;;1;;;0;;;;;;;Ghost_Starved_Named_03;;0;;;;;;;;;;;;;;;;0;;@1102_0201_d_02_Task;;;;;;;;;;;;;;
1102_0201_d_03_Task;TaskHaveAndReturnItems;;1;1;1102_0201_Spyglass;;0;100;1;0;small_outpost;;1;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@1102_0201_d_03_Task;;;;;;;;;;;;;;
1102_0301_d_00_Container_musslebeard;ConsecutiveTaskContainer;;0;;;;0;0;;0;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;1102_0301_d_01_Task;1102_0301_d_02_Container_musslebeard_kills;;;
1102_0301_d_01_Task;TaskGoToPOITag;;0;1;;;0;0;1;0;wrecked_galleon_60339;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@1102_0301_d_01_Task;;;;;;;;;;;;;;
1102_0301_d_02_Container_musslebeard_kills;SimpleTaskContainer;;0;;;;0;0;;0;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;1102_0301_d_02a_Task;1102_0301_d_02b_Task;;;
1102_0301_d_02a_Task;TaskKillContribution;;0;12;;;0;0;1;0;wrecked_galleon_60339;;;;;0;;;;;;;Seasong;;0;;;;;;;;;;;;;;;;0;;@1102_0301_d_02_Task;;;;;;;;;;;;;;
1102_0301_d_02b_Task;TaskKillContribution;;0;1;;;0;0;1;0;wrecked_galleon_60339;;;;;0;;;;;;;Undead_Officer_Named_06;;0;;;;;;;;;;;;;;;;0;;@1102_0301_d_03_Task;;13994.923 7499.414 53.035;;;;;;;;;;;;
1102_0401_d_00_Container_march;ConsecutiveTaskContainer;;0;;;;0;0;;0;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;1102_0401_d_01_container_Tasks_foulroot;1102_0401_d_02_container_Tasks_Grus;;;
